engagement,ad_name,campaign,date,reach,spend
3,XBrand | Exclusive Offer | Swipe and Win | Save More | Zero Interest,XBrand | Gold Loan Offers | Holiday Cashback | Luxury Travel | Lifestyle Rewards | Savings Fiesta,2023-06-06,99,LKR22.87
158,XBrand | Easy Payments | Limited Time | Swipe and Win,XBrand | Back to School | Diwali Deals | Flash Sale | Holiday Cashback,2023-06-06,"9,781","LKR3,171.48"
61,XBrand | Get Rewarded | Travel Smart | Easy Payments | Limited Time | Exclusive Offer,XBrand | Gold Loan Offers | Digital Drive | Summer Bonanza | Lifestyle Rewards,2023-06-07,"9,272","LKR2,107.35"
"3,948",XBrand | Limited Time | Zero Interest | Swipe and Win | Gift Vouchers | Travel Smart,XBrand | Savings Fiesta | Holiday Cashback | Luxury Travel,2023-06-07,"40,503","LKR1,026.05"
"5,369",XBrand | Limited Time | Swipe and Win | Weekend Treat,XBrand | Gold Loan Offers | Savings Fiesta | Lifestyle Rewards,2023-06-07,"10,057","LKR1,029.29"
"1,394",XBrand | Win Big | Gift Vouchers | Bonus Points | Travel Smart,XBrand | Holiday Cashback | Green Finance | Gold Loan Offers,2023-06-07,"46,493","LKR1,004.44"
"5,098",XBrand | Save More | Get Rewarded | Easy Payments,XBrand | Savings Fiesta | Gold Loan Offers | Green Finance,2023-06-07,"9,136",LKR937.73
"1,923",XBrand | Easy Payments | Get Rewarded | Win Big | Swipe and Win,XBrand | Savings Fiesta | Summer Bonanza | Luxury Travel | Back to School | Digital Drive,2023-06-07,"51,834",LKR915.89
"5,315",XBrand | Swipe and Win | Get Rewarded | Easy Payments | Exclusive Offer | Weekend Treat,XBrand | Holiday Cashback | Savings Fiesta | Flash Sale | Summer Bonanza,2023-06-07,"10,742",LKR885.53
"5,193",XBrand | Exclusive Offer | Travel Smart | Get Rewarded | Win Big,XBrand | Back to School | Flash Sale | Holiday Cashback | Gold Loan Offers | Savings Fiesta,2023-06-07, -   ,LKR953.38
10,XBrand | Exclusive Offer | Get Rewarded | Bonus Points | Weekend Treat,XBrand | Auto Loans Special | Gold Loan Offers | Holiday Cashback | Luxury Travel | Diwali Deals,2023-06-07,"10,692",LKR260.79
9,XBrand | Travel Smart | Get Rewarded | Swipe and Win | Zero Interest | Bonus Points,XBrand | Diwali Deals | Gold Loan Offers | Back to School | Holiday Cashback | Flash Sale,2023-06-07,"18,583",LKR362.41
147,XBrand | Bonus Points | Exclusive Offer | Get Rewarded,XBrand | Diwali Deals | Digital Drive | Gold Loan Offers | Green Finance | Lifestyle Rewards,2023-06-07,"2,432",LKR362.91
1,XBrand | Save More | Travel Smart | Exclusive Offer | Bonus Points | Gift Vouchers,XBrand | Lifestyle Rewards | Gold Loan Offers | Diwali Deals | Digital Drive | Green Finance,2023-06-07,"1,232",LKR19.87
14,XBrand | Gift Vouchers | Exclusive Offer | Bonus Points | Travel Smart,XBrand | Back to School | Summer Bonanza | Auto Loans Special | Savings Fiesta | Gold Loan Offers,2023-06-07,"2,510",LKR596.17
3,XBrand | Save More | Bonus Points | Gift Vouchers | Zero Interest,XBrand | Digital Drive | Flash Sale | Green Finance,2023-06-07,273,LKR99.02
120,XBrand | Win Big | Weekend Treat | Exclusive Offer,XBrand | Auto Loans Special | Back to School | Digital Drive | Holiday Cashback | Lifestyle Rewards,2023-06-07,"11,796","LKR2,637.38"
53,XBrand | Limited Time | Easy Payments | Travel Smart,XBrand | Diwali Deals | Green Finance | Flash Sale | Savings Fiesta | Lifestyle Rewards,2023-06-08,"60,261","LKR1,605.22"
314,XBrand | Easy Payments | Win Big | Zero Interest | Exclusive Offer | Bonus Points,XBrand | Gold Loan Offers | Lifestyle Rewards | Diwali Deals | Back to School,2023-06-08,"2,858","LKR1,725.36"
55,XBrand | Bonus Points | Save More | Win Big,XBrand | Diwali Deals | Gold Loan Offers | Digital Drive,2023-06-08,"7,952","LKR2,483.24"
"3,863",XBrand | Get Rewarded | Exclusive Offer | Weekend Treat | Easy Payments | Limited Time,XBrand | Holiday Cashback | Back to School | Green Finance | Luxury Travel | Savings Fiesta,2023-06-08,"32,675",LKR910.16
"5,073",XBrand | Exclusive Offer | Zero Interest | Save More,XBrand | Gold Loan Offers | Holiday Cashback | Digital Drive,2023-06-08,"9,874",LKR912.38
"1,263",XBrand | Win Big | Limited Time | Travel Smart,XBrand | Auto Loans Special | Digital Drive | Gold Loan Offers,2023-06-08,"39,106",LKR777.13
"3,802",XBrand | Get Rewarded | Bonus Points | Swipe and Win,XBrand | Green Finance | Summer Bonanza | Back to School,2023-06-08,"7,735",LKR842.23
"1,627",XBrand | Save More | Win Big | Bonus Points | Zero Interest | Weekend Treat,XBrand | Gold Loan Offers | Summer Bonanza | Luxury Travel | Savings Fiesta | Back to School,2023-06-08,"34,173","LKR1,006.94"
"5,159",XBrand | Exclusive Offer | Get Rewarded | Easy Payments | Gift Vouchers | Travel Smart,XBrand | Digital Drive | Savings Fiesta | Luxury Travel | Gold Loan Offers | Auto Loans Special,2023-06-08,"10,897",LKR947.38
7,XBrand | Exclusive Offer | Swipe and Win | Zero Interest,XBrand | Summer Bonanza | Holiday Cashback | Lifestyle Rewards | Savings Fiesta | Back to School,2023-06-08,"14,164",LKR301.72
156,XBrand | Bonus Points | Save More | Limited Time | Win Big,XBrand | Savings Fiesta | Holiday Cashback | Summer Bonanza | Green Finance,2023-06-08,"3,510",LKR321.90
11,XBrand | Gift Vouchers | Bonus Points | Travel Smart,XBrand | Savings Fiesta | Back to School | Green Finance,2023-06-08,"18,682",LKR354.29
27,XBrand | Weekend Treat | Limited Time | Gift Vouchers,XBrand | Green Finance | Flash Sale | Auto Loans Special | Diwali Deals | Back to School,2023-06-08,"44,137","LKR1,242.62"
288,XBrand | Bonus Points | Swipe and Win | Win Big,XBrand | Holiday Cashback | Lifestyle Rewards | Savings Fiesta | Flash Sale,2023-06-08,"3,412","LKR1,095.05"
"1,150",XBrand | Zero Interest | Get Rewarded | Bonus Points,XBrand | Luxury Travel | Digital Drive | Green Finance | Holiday Cashback | Summer Bonanza,2023-06-08,"18,420","LKR5,634.74"
6,XBrand | Exclusive Offer | Win Big | Save More | Get Rewarded | Limited Time,XBrand | Summer Bonanza | Gold Loan Offers | Savings Fiesta,2023-06-08,"9,032",LKR225.31
77,XBrand | Zero Interest | Exclusive Offer | Travel Smart,XBrand | Gold Loan Offers | Back to School | Diwali Deals,2023-06-08,"52,212","LKR1,619.63"
797,XBrand | Bonus Points | Easy Payments | Travel Smart | Swipe and Win,XBrand | Summer Bonanza | Back to School | Luxury Travel | Auto Loans Special | Diwali Deals,2023-06-08,"7,361","LKR1,621.09"
"6,264",XBrand | Limited Time | Swipe and Win | Travel Smart | Get Rewarded,XBrand | Green Finance | Auto Loans Special | Summer Bonanza | Holiday Cashback,2023-06-08,"153,061","LKR4,539.23"
"19,197",XBrand | Limited Time | Zero Interest | Travel Smart | Bonus Points | Save More,XBrand | Savings Fiesta | Gold Loan Offers | Auto Loans Special | Green Finance,2023-06-08,"32,658","LKR3,617.06"
6,XBrand | Swipe and Win | Save More | Limited Time | Bonus Points | Get Rewarded,XBrand | Diwali Deals | Gold Loan Offers | Lifestyle Rewards | Auto Loans Special,2023-06-08,"7,973",LKR232.04
23,XBrand | Weekend Treat | Get Rewarded | Limited Time | Swipe and Win | Save More,XBrand | Back to School | Holiday Cashback | Digital Drive,2023-06-08,"26,295",LKR730.12
172,XBrand | Win Big | Easy Payments | Limited Time | Weekend Treat,XBrand | Lifestyle Rewards | Luxury Travel | Auto Loans Special,2023-06-08,"4,104",LKR642.73
38,XBrand | Gift Vouchers | Swipe and Win | Win Big | Get Rewarded | Zero Interest,XBrand | Back to School | Digital Drive | Summer Bonanza | Gold Loan Offers | Savings Fiesta,2023-06-08,"2,981",LKR885.19
43,XBrand | Limited Time | Travel Smart | Win Big | Zero Interest | Gift Vouchers,XBrand | Luxury Travel | Auto Loans Special | Flash Sale | Lifestyle Rewards | Back to School,2023-06-08,"3,509",LKR881.60
43,XBrand | Swipe and Win | Bonus Points | Get Rewarded | Weekend Treat,XBrand | Diwali Deals | Gold Loan Offers | Summer Bonanza,2023-06-08,"29,194",LKR801.96
449,XBrand | Bonus Points | Limited Time | Easy Payments,XBrand | Back to School | Savings Fiesta | Green Finance,2023-06-08,"4,644",LKR775.70
41,XBrand | Win Big | Swipe and Win | Bonus Points,XBrand | Lifestyle Rewards | Back to School | Gold Loan Offers | Savings Fiesta | Diwali Deals,2023-06-08,"27,222",LKR850.08
750,XBrand | Exclusive Offer | Bonus Points | Get Rewarded | Zero Interest,XBrand | Auto Loans Special | Lifestyle Rewards | Summer Bonanza | Back to School,2023-06-08,"4,352",LKR837.68
"4,024",XBrand | Zero Interest | Weekend Treat | Get Rewarded | Win Big | Save More,XBrand | Auto Loans Special | Digital Drive | Holiday Cashback,2023-06-08,"11,528","LKR1,997.83"
2,XBrand | Easy Payments | Bonus Points | Win Big,XBrand | Lifestyle Rewards | Back to School | Gold Loan Offers | Auto Loans Special,2023-06-08,434,LKR154.75
3,XBrand | Easy Payments | Weekend Treat | Bonus Points | Limited Time | Get Rewarded,XBrand | Holiday Cashback | Lifestyle Rewards | Digital Drive | Savings Fiesta | Gold Loan Offers,2023-06-08,445,LKR216.30
86,XBrand | Zero Interest | Limited Time | Weekend Treat,XBrand | Green Finance | Digital Drive | Diwali Deals,2023-06-08,"10,083","LKR2,345.14"
120,XBrand | Bonus Points | Limited Time | Save More | Swipe and Win,XBrand | Back to School | Luxury Travel | Gold Loan Offers | Lifestyle Rewards | Auto Loans Special,2023-06-09,"79,844","LKR2,966.18"
654,XBrand | Easy Payments | Save More | Travel Smart | Swipe and Win | Limited Time,XBrand | Digital Drive | Holiday Cashback | Luxury Travel | Gold Loan Offers,2023-06-09,"4,760","LKR3,538.06"
26,XBrand | Weekend Treat | Travel Smart | Swipe and Win | Bonus Points,XBrand | Auto Loans Special | Flash Sale | Luxury Travel,2023-06-09,"12,970",LKR557.56
80,XBrand | Limited Time | Weekend Treat | Zero Interest,XBrand | Holiday Cashback | Diwali Deals | Gold Loan Offers,2023-06-09,"1,453",LKR558.26
306,XBrand | Bonus Points | Win Big | Exclusive Offer,XBrand | Flash Sale | Savings Fiesta | Green Finance | Luxury Travel,2023-06-09,"4,112","LKR1,532.10"
66,XBrand | Exclusive Offer | Bonus Points | Zero Interest | Gift Vouchers,XBrand | Summer Bonanza | Savings Fiesta | Digital Drive | Diwali Deals | Green Finance,2023-06-09,"9,957","LKR2,292.08"
"3,655",XBrand | Zero Interest | Weekend Treat | Exclusive Offer,XBrand | Back to School | Gold Loan Offers | Lifestyle Rewards | Luxury Travel,2023-06-09,"28,545",LKR955.93
"6,375",XBrand | Bonus Points | Zero Interest | Swipe and Win | Save More | Get Rewarded,XBrand | Summer Bonanza | Back to School | Gold Loan Offers | Lifestyle Rewards,2023-06-09,"10,547",LKR983.20
994,XBrand | Easy Payments | Zero Interest | Swipe and Win,XBrand | Lifestyle Rewards | Digital Drive | Green Finance,2023-06-09,"28,921",LKR833.74
"3,653",XBrand | Easy Payments | Weekend Treat | Gift Vouchers,XBrand | Summer Bonanza | Savings Fiesta | Auto Loans Special,2023-06-09,"7,557",LKR947.51
"1,509",XBrand | Save More | Gift Vouchers | Zero Interest,XBrand | Gold Loan Offers | Lifestyle Rewards | Flash Sale,2023-06-09,"39,235",LKR847.28
"4,792",XBrand | Gift Vouchers | Limited Time | Save More,XBrand | Summer Bonanza | Green Finance | Gold Loan Offers,2023-06-09,"10,045",LKR858.60
13,XBrand | Gift Vouchers | Save More | Swipe and Win,XBrand | Holiday Cashback | Green Finance | Back to School | Gold Loan Offers,2023-06-09,"9,933",LKR342.99
118,XBrand | Travel Smart | Exclusive Offer | Easy Payments,XBrand | Savings Fiesta | Flash Sale | Digital Drive | Luxury Travel,2023-06-09,"3,557",LKR277.11
12,XBrand | Swipe and Win | Win Big | Bonus Points | Weekend Treat | Travel Smart,XBrand | Back to School | Green Finance | Digital Drive,2023-06-09,"10,372",LKR303.07
54,XBrand | Get Rewarded | Swipe and Win | Win Big | Limited Time | Travel Smart,XBrand | Gold Loan Offers | Summer Bonanza | Diwali Deals | Savings Fiesta,2023-06-09,"64,970","LKR2,190.09"
430,XBrand | Zero Interest | Travel Smart | Gift Vouchers | Win Big,XBrand | Savings Fiesta | Digital Drive | Summer Bonanza | Holiday Cashback | Green Finance,2023-06-09,"3,739","LKR1,987.55"
21,XBrand | Limited Time | Zero Interest | Exclusive Offer | Gift Vouchers | Win Big,XBrand | Holiday Cashback | Flash Sale | Auto Loans Special | Gold Loan Offers | Summer Bonanza,2023-06-09,"14,510",LKR451.47
146,XBrand | Bonus Points | Limited Time | Gift Vouchers | Get Rewarded,XBrand | Digital Drive | Luxury Travel | Back to School | Lifestyle Rewards,2023-06-09,"98,761","LKR3,163.09"
"1,177",XBrand | Save More | Easy Payments | Weekend Treat | Zero Interest,XBrand | Diwali Deals | Flash Sale | Gold Loan Offers,2023-06-09,"24,868","LKR2,873.90"
"9,317",XBrand | Zero Interest | Save More | Travel Smart | Get Rewarded | Exclusive Offer,XBrand | Back to School | Auto Loans Special | Savings Fiesta | Gold Loan Offers | Summer Bonanza,2023-06-09,"210,375","LKR5,599.17"
"22,608",XBrand | Get Rewarded | Bonus Points | Weekend Treat | Exclusive Offer | Zero Interest,XBrand | Summer Bonanza | Flash Sale | Gold Loan Offers | Lifestyle Rewards,2023-06-09,"48,188","LKR5,945.59"
16,XBrand | Get Rewarded | Limited Time | Exclusive Offer | Save More | Win Big,XBrand | Digital Drive | Gold Loan Offers | Holiday Cashback | Luxury Travel | Lifestyle Rewards,2023-06-09,"14,541",LKR500.04
52,XBrand | Limited Time | Save More | Easy Payments | Get Rewarded,XBrand | Savings Fiesta | Lifestyle Rewards | Back to School | Diwali Deals | Flash Sale,2023-06-09,"44,309","LKR1,489.52"
340,XBrand | Swipe and Win | Weekend Treat | Easy Payments | Bonus Points | Get Rewarded,XBrand | Holiday Cashback | Diwali Deals | Gold Loan Offers | Lifestyle Rewards | Auto Loans Special,2023-06-09,"6,915","LKR1,532.34"
53,XBrand | Zero Interest | Easy Payments | Weekend Treat,XBrand | Green Finance | Back to School | Luxury Travel | Gold Loan Offers | Digital Drive,2023-06-09,"4,588","LKR1,839.28"
80,XBrand | Win Big | Travel Smart | Get Rewarded,XBrand | Diwali Deals | Auto Loans Special | Summer Bonanza | Savings Fiesta,2023-06-09,"5,639","LKR1,413.17"
81,XBrand | Win Big | Travel Smart | Get Rewarded | Save More,XBrand | Savings Fiesta | Auto Loans Special | Holiday Cashback | Lifestyle Rewards,2023-06-09,"55,053","LKR1,552.03"
"1,053",XBrand | Zero Interest | Travel Smart | Save More | Weekend Treat,XBrand | Back to School | Flash Sale | Luxury Travel,2023-06-09,"6,842","LKR1,486.27"
75,XBrand | Get Rewarded | Zero Interest | Bonus Points | Win Big | Limited Time,XBrand | Diwali Deals | Digital Drive | Luxury Travel,2023-06-09,"55,880","LKR1,643.16"
"1,135",XBrand | Weekend Treat | Save More | Gift Vouchers | Win Big | Travel Smart,XBrand | Luxury Travel | Lifestyle Rewards | Gold Loan Offers | Holiday Cashback | Digital Drive,2023-06-09,"8,792","LKR1,666.77"
"9,350",XBrand | Easy Payments | Weekend Treat | Bonus Points | Gift Vouchers | Save More,XBrand | Holiday Cashback | Lifestyle Rewards | Luxury Travel,2023-06-09,"18,394","LKR2,824.60"
58,XBrand | Travel Smart | Get Rewarded | Zero Interest,XBrand | Flash Sale | Savings Fiesta | Back to School | Digital Drive | Auto Loans Special,2023-06-09,"47,392","LKR1,855.11"
67,XBrand | Limited Time | Weekend Treat | Swipe and Win | Exclusive Offer | Win Big,XBrand | Gold Loan Offers | Back to School | Lifestyle Rewards,2023-06-09,"50,057","LKR1,958.87"
4,XBrand | Gift Vouchers | Zero Interest | Limited Time,XBrand | Luxury Travel | Lifestyle Rewards | Green Finance,2023-06-09,702,LKR285.34
20,XBrand | Swipe and Win | Zero Interest | Easy Payments | Gift Vouchers | Bonus Points,XBrand | Back to School | Auto Loans Special | Gold Loan Offers | Diwali Deals,2023-06-09,"2,210",LKR546.22
57,XBrand | Gift Vouchers | Win Big | Exclusive Offer,XBrand | Diwali Deals | Savings Fiesta | Lifestyle Rewards | Gold Loan Offers,2023-06-09,"9,045","LKR2,142.31"
69,XBrand | Bonus Points | Weekend Treat | Exclusive Offer | Easy Payments,XBrand | Flash Sale | Summer Bonanza | Savings Fiesta | Auto Loans Special,2023-06-10,"49,488","LKR2,128.14"
408,XBrand | Weekend Treat | Zero Interest | Win Big | Swipe and Win,XBrand | Back to School | Digital Drive | Summer Bonanza | Flash Sale,2023-06-10,"3,995","LKR2,251.45"
744,XBrand | Exclusive Offer | Bonus Points | Zero Interest,XBrand | Diwali Deals | Holiday Cashback | Back to School | Savings Fiesta | Summer Bonanza,2023-06-10,"5,968","LKR3,616.10"
62,XBrand | Limited Time | Save More | Weekend Treat | Win Big | Swipe and Win,XBrand | Lifestyle Rewards | Green Finance | Luxury Travel | Holiday Cashback | Back to School,2023-06-10,"8,149","LKR2,528.65"
"2,610",XBrand | Gift Vouchers | Get Rewarded | Zero Interest,XBrand | Digital Drive | Green Finance | Auto Loans Special,2023-06-10,"22,215",LKR879.32
"3,668",XBrand | Swipe and Win | Gift Vouchers | Limited Time | Win Big,XBrand | Lifestyle Rewards | Holiday Cashback | Summer Bonanza | Gold Loan Offers | Green Finance,2023-06-10,"6,585",LKR841.35
829,XBrand | Win Big | Easy Payments | Travel Smart,XBrand | Lifestyle Rewards | Back to School | Auto Loans Special,2023-06-10,"35,280",LKR901.64
"4,643",XBrand | Limited Time | Swipe and Win | Easy Payments | Win Big | Travel Smart,XBrand | Digital Drive | Summer Bonanza | Gold Loan Offers | Green Finance,2023-06-10,"8,144",LKR694.21
"1,301",XBrand | Gift Vouchers | Travel Smart | Easy Payments,XBrand | Holiday Cashback | Green Finance | Diwali Deals | Auto Loans Special | Summer Bonanza,2023-06-10,"28,373",LKR919.56
"3,935",XBrand | Win Big | Weekend Treat | Zero Interest,XBrand | Auto Loans Special | Diwali Deals | Green Finance,2023-06-10,"6,732",LKR731.84
8,XBrand | Travel Smart | Bonus Points | Save More | Weekend Treat,XBrand | Gold Loan Offers | Luxury Travel | Digital Drive | Summer Bonanza | Auto Loans Special,2023-06-10,"9,832",LKR361.16
108,XBrand | Travel Smart | Save More | Easy Payments | Zero Interest | Swipe and Win,XBrand | Holiday Cashback | Auto Loans Special | Digital Drive | Diwali Deals | Green Finance,2023-06-10,"3,053",LKR332.76
23,XBrand | Save More | Limited Time | Travel Smart | Weekend Treat,XBrand | Auto Loans Special | Flash Sale | Summer Bonanza,2023-06-10,"14,458",LKR440.48
61,XBrand | Swipe and Win | Weekend Treat | Easy Payments,XBrand | Green Finance | Summer Bonanza | Holiday Cashback | Auto Loans Special | Diwali Deals,2023-06-10,"55,706","LKR2,025.91"
374,XBrand | Travel Smart | Zero Interest | Bonus Points | Gift Vouchers | Save More,XBrand | Digital Drive | Auto Loans Special | Savings Fiesta | Flash Sale,2023-06-10,"5,743","LKR1,955.32"
13,XBrand | Limited Time | Exclusive Offer | Easy Payments,XBrand | Back to School | Savings Fiesta | Auto Loans Special,2023-06-10,"14,002",LKR399.54
14,XBrand | Travel Smart | Limited Time | Save More,XBrand | Gold Loan Offers | Lifestyle Rewards | Holiday Cashback | Luxury Travel,2023-06-10,"14,794",LKR495.08
47,XBrand | Easy Payments | Swipe and Win | Travel Smart,XBrand | Auto Loans Special | Summer Bonanza | Green Finance | Savings Fiesta,2023-06-10,"47,579","LKR1,536.41"
390,XBrand | Win Big | Gift Vouchers | Save More | Exclusive Offer,XBrand | Holiday Cashback | Digital Drive | Flash Sale,2023-06-10,"9,191","LKR1,627.61"
63,XBrand | Zero Interest | Weekend Treat | Gift Vouchers,XBrand | Green Finance | Lifestyle Rewards | Back to School | Summer Bonanza | Gold Loan Offers,2023-06-10,"5,950","LKR1,550.70"
86,XBrand | Exclusive Offer | Zero Interest | Get Rewarded,XBrand | Green Finance | Digital Drive | Savings Fiesta | Flash Sale,2023-06-10,"8,641","LKR1,813.07"
159,XBrand | Bonus Points | Easy Payments | Swipe and Win | Zero Interest | Win Big,XBrand | Savings Fiesta | Back to School | Gold Loan Offers | Green Finance | Diwali Deals,2023-06-10,"109,576","LKR3,666.10"
130,XBrand | Bonus Points | Easy Payments | Save More | Get Rewarded | Zero Interest,XBrand | Lifestyle Rewards | Gold Loan Offers | Summer Bonanza | Back to School,2023-06-10,"91,448","LKR3,222.49"
11,XBrand | Win Big | Easy Payments | Swipe and Win | Save More,XBrand | Luxury Travel | Summer Bonanza | Diwali Deals | Back to School,2023-06-10,"1,071",LKR395.21
7,XBrand | Save More | Weekend Treat | Get Rewarded | Gift Vouchers | Limited Time,XBrand | Green Finance | Gold Loan Offers | Luxury Travel,2023-06-10,"1,734",LKR444.51
70,XBrand | Travel Smart | Get Rewarded | Save More,XBrand | Gold Loan Offers | Diwali Deals | Green Finance | Auto Loans Special,2023-06-10,"9,093","LKR2,119.20"
66,XBrand | Easy Payments | Bonus Points | Exclusive Offer,XBrand | Savings Fiesta | Flash Sale | Auto Loans Special | Summer Bonanza | Back to School,2023-06-11, -   ,"LKR2,116.43"
78,XBrand | Zero Interest | Win Big | Bonus Points | Save More | Weekend Treat,XBrand | Digital Drive | Luxury Travel | Flash Sale,2023-06-11,"10,752","LKR2,409.42"
14,XBrand | Bonus Points | Zero Interest | Swipe and Win,XBrand | Gold Loan Offers | Back to School | Digital Drive | Auto Loans Special,2023-06-11,"13,530",LKR294.65
117,XBrand | Exclusive Offer | Gift Vouchers | Swipe and Win,XBrand | Digital Drive | Diwali Deals | Back to School,2023-06-11,"3,385",LKR366.67
11,XBrand | Get Rewarded | Swipe and Win | Save More | Easy Payments,XBrand | Gold Loan Offers | Digital Drive | Flash Sale | Savings Fiesta | Lifestyle Rewards,2023-06-11,"18,942",LKR397.81
21,XBrand | Win Big | Exclusive Offer | Easy Payments | Zero Interest,XBrand | Diwali Deals | Luxury Travel | Savings Fiesta,2023-06-11,"17,523",LKR462.32
24,XBrand | Zero Interest | Swipe and Win | Gift Vouchers | Bonus Points,XBrand | Savings Fiesta | Gold Loan Offers | Diwali Deals,2023-06-11,"16,734",LKR413.71
80,XBrand | Bonus Points | Swipe and Win | Save More | Gift Vouchers | Zero Interest,XBrand | Lifestyle Rewards | Digital Drive | Auto Loans Special | Luxury Travel | Holiday Cashback,2023-06-11,"55,460","LKR1,270.13"
383,XBrand | Zero Interest | Gift Vouchers | Travel Smart,XBrand | Digital Drive | Flash Sale | Savings Fiesta,2023-06-11,"8,212","LKR1,357.72"
51,XBrand | Weekend Treat | Exclusive Offer | Limited Time | Get Rewarded | Save More,XBrand | Summer Bonanza | Lifestyle Rewards | Flash Sale | Back to School,2023-06-11,"6,065","LKR1,659.61"
102,XBrand | Bonus Points | Zero Interest | Limited Time | Win Big,XBrand | Luxury Travel | Summer Bonanza | Flash Sale | Digital Drive | Lifestyle Rewards,2023-06-11,"9,881","LKR2,056.65"
155,XBrand | Save More | Limited Time | Easy Payments | Get Rewarded | Weekend Treat,XBrand | Holiday Cashback | Luxury Travel | Gold Loan Offers | Auto Loans Special | Back to School,2023-06-11,"140,376","LKR3,341.60"
6,XBrand | Gift Vouchers | Limited Time | Easy Payments,XBrand | Back to School | Summer Bonanza | Luxury Travel | Green Finance | Digital Drive,2023-06-11,835,LKR259.22
43,XBrand | Zero Interest | Save More | Travel Smart | Gift Vouchers,XBrand | Auto Loans Special | Back to School | Gold Loan Offers,2023-06-11,"4,476",LKR948.91
66,XBrand | Get Rewarded | Swipe and Win | Zero Interest | Win Big | Exclusive Offer,XBrand | Back to School | Green Finance | Diwali Deals | Digital Drive,2023-06-11,"9,198","LKR1,828.97"
75,XBrand | Easy Payments | Win Big | Weekend Treat | Travel Smart | Limited Time,XBrand | Lifestyle Rewards | Summer Bonanza | Flash Sale | Back to School,2023-06-12, -   ,"LKR1,601.25"
92,XBrand | Win Big | Save More | Exclusive Offer | Gift Vouchers | Weekend Treat,XBrand | Luxury Travel | Lifestyle Rewards | Diwali Deals,2023-06-12,"9,325","LKR2,245.77"
95,XBrand | Bonus Points | Exclusive Offer | Win Big,XBrand | Green Finance | Lifestyle Rewards | Auto Loans Special | Flash Sale,2023-06-12, -   ,"LKR2,098.08"
11,XBrand | Weekend Treat | Gift Vouchers | Limited Time | Exclusive Offer | Travel Smart,XBrand | Digital Drive | Flash Sale | Holiday Cashback | Diwali Deals | Lifestyle Rewards,2023-06-12,"15,412",LKR317.57
117,XBrand | Exclusive Offer | Bonus Points | Easy Payments | Limited Time | Weekend Treat,XBrand | Summer Bonanza | Luxury Travel | Holiday Cashback,2023-06-12,"2,595",LKR286.36
24,XBrand | Save More | Limited Time | Get Rewarded | Weekend Treat,XBrand | Lifestyle Rewards | Holiday Cashback | Diwali Deals,2023-06-12,"20,646",LKR405.35
21,XBrand | Limited Time | Bonus Points | Save More | Gift Vouchers | Weekend Treat,XBrand | Diwali Deals | Auto Loans Special | Savings Fiesta | Luxury Travel | Digital Drive,2023-06-12,"22,684",LKR480.61
24,XBrand | Easy Payments | Gift Vouchers | Swipe and Win,XBrand | Luxury Travel | Savings Fiesta | Green Finance,2023-06-12,"21,060",LKR434.54
65,XBrand | Swipe and Win | Gift Vouchers | Bonus Points | Easy Payments | Weekend Treat,XBrand | Savings Fiesta | Diwali Deals | Green Finance | Lifestyle Rewards,2023-06-12,"7,169","LKR1,731.52"
73,XBrand | Save More | Bonus Points | Travel Smart | Limited Time,XBrand | Digital Drive | Diwali Deals | Holiday Cashback,2023-06-12,"8,936","LKR1,804.31"
7,XBrand | Win Big | Weekend Treat | Bonus Points,XBrand | Digital Drive | Lifestyle Rewards | Flash Sale,2023-06-12,722,LKR218.58
26,XBrand | Travel Smart | Swipe and Win | Save More | Easy Payments | Gift Vouchers,XBrand | Auto Loans Special | Lifestyle Rewards | Digital Drive,2023-06-12,"3,259",LKR543.45
69,XBrand | Travel Smart | Weekend Treat | Bonus Points,XBrand | Green Finance | Auto Loans Special | Gold Loan Offers,2023-06-12,"9,655","LKR2,407.24"
50,XBrand | Easy Payments | Bonus Points | Get Rewarded | Save More,XBrand | Lifestyle Rewards | Back to School | Summer Bonanza,2023-06-13,"41,845",LKR814.47
189,XBrand | Bonus Points | Easy Payments | Gift Vouchers | Get Rewarded | Weekend Treat,XBrand | Summer Bonanza | Luxury Travel | Flash Sale | Savings Fiesta,2023-06-13,"2,725",LKR846.83
79,XBrand | Easy Payments | Swipe and Win | Bonus Points,XBrand | Luxury Travel | Holiday Cashback | Digital Drive | Green Finance,2023-06-13,"10,476","LKR2,398.32"
13,XBrand | Zero Interest | Swipe and Win | Easy Payments,XBrand | Back to School | Auto Loans Special | Lifestyle Rewards | Gold Loan Offers | Diwali Deals,2023-06-13,"14,760",LKR306.87
106,XBrand | Get Rewarded | Exclusive Offer | Zero Interest,XBrand | Auto Loans Special | Digital Drive | Flash Sale | Green Finance,2023-06-13,"3,486",LKR298.55
35,XBrand | Zero Interest | Save More | Exclusive Offer | Limited Time | Travel Smart,XBrand | Holiday Cashback | Summer Bonanza | Luxury Travel,2023-06-13,"15,726",LKR436.80
21,XBrand | Zero Interest | Exclusive Offer | Limited Time | Win Big,XBrand | Holiday Cashback | Back to School | Flash Sale | Gold Loan Offers,2023-06-13,"17,775",LKR459.71
16,XBrand | Easy Payments | Get Rewarded | Win Big | Save More,XBrand | Back to School | Digital Drive | Lifestyle Rewards | Auto Loans Special,2023-06-13,"18,340",LKR470.26
